Nom en français,ISO 639-2
afar,aar
abkhaze,abk
aceh,ace
acoli,ach
adangmé,ada
adyghé,ady
langues afro-asiatiques,afa
afrihili,afh
afrikaans,afr
aïnou,ain
akan,aka
akkadien,akk
albanais,alb
aléoute,ale
langues algonquiennes,alg
altaï du Sud,alt
amharique,amh
"anglo-saxon (environ 450-1100), ancien anglais",ang
angika,anp
langues apaches,apa
arabe,ara
araméen d'empire (700-300 BCE),arc
aragonais,arg
arménien,arm
"mapudungun, mapouche, mapuce",arn
arapaho,arp
langues artificielles,art
arawak,arw
assamais,asm
"asturien, bable, léonais, asturoléonais",ast
langues athapascanes,ath
langues australiennes,aus
avar,ava
avestique,ave
awadhi,awa
aymará,aym
azéri,aze
langues banda,bad
langues bamilékées,bai
bachkir,bak
baloutche,bal
bambara,bam
balinais,ban
basque,baq
basa,bas
langues baltes,bat
bedja,bej
biélorusse,bel
bemba,bem
bengalî,ben
langues berbères,ber
bhodjpouri,bho
bihari,bih
bikol central,bik
"bini, edo",bin
"bichelamar, bêche-de-mer",bis
blackfoot (siksika),bla
langues bantoues,bnt
bosniaque,bos
braj basha,bra
breton,bre
langues batak,btk
bouriate,bua
bugi,bug
bulgare,bul
birman,bur
"blin, bilen",byn
caddo,cad
langues indiennes d'Amérique centrale,cai
"galibi, carib, karib",car
catalan,cat
langues caucasiennes,cau
cébouano,ceb
langues celtiques,cel
chamorro,cha
chibcha,chb
tchétchène,che
djaghataï,chg
Chinois,chi
chuuk,chk
mari,chm
chinook jargon,chn
choctaw,cho
chipewyan,chp
cherokee,chr
"slavon d'église, vieux slave, slavon liturgique, vieux bulgare",chu
tchouvache,chv
cheyenne,chy
langues chames,cmc
monténégrin,cnr
copte,cop
cornique,cor
corse,cos
créoles et pidgins basés sur l'anglais,cpe
créoles et pidgins basés sur le français,cpf
créoles et pidgins basés sur le portugais,cpp
cree,cre
tatar de Crimée,crh
créoles et pidgins,crp
cachoube,csb
langues couchitiques,cus
tchèque,cze
dakota,dak
danois,dan
dargwa,dar
langues Land Dayak,day
delaware,del
slavey (langue),den
dogrib,dgr
dinka,din
maldivien,div
dogri (kangri),doi
langues dravidiennes,dra
bas-sorabe,dsb
douala,dua
"Néerlandais, moyen (environ 1050-1350)",dum
"néerlandais, flamand",dut
dioula,dyu
dzongkha,dzo
éfik,efi
égyptien ancien,egy
ekajuk,eka
élamite,elx
anglais,eng
"Anglais, moyen (1100-1500)",enm
espéranto,epo
estonien,est
éwé,ewe
éwondo,ewo
fang,fan
féroïen,fao
fanti,fat
fidjien,fij
filipino,fil
finnois,fin
langues finno-ougriennes,fiu
fon,fon
français,fre
moyen français (1400-1600),frm
ancien français (842-environ 1400),fro
frison septentrional,frr
frison oriental,frs
frison occidental,fry
peul,ful
frioulan,fur
ga,gaa
gayo,gay
gbaya,gba
langues germaniques,gem
géorgien,geo
allemand,ger
guèze,gez
gilbertin,gil
"gaélique écossais, Gaélique",gla
irlandais,gle
galicien,glg
"mannois, manx",glv
moyen haut-allemand (environ 1050-1500),gmh
vieux haut allemand (environ 750-1050),goh
gondi,gon
gorontalo,gor
gotique,got
grébo,grb
grec ancien (jusqu'à 1453),grc
grec moderne (après 1453),gre
guarani,grn
"alémanique, suisse-allemand, alsacien",gsw
goudjrati,guj
gwich'in,gwi
haïda,hai
"haïtien, créole haïtien",hat
haoussa,hau
hawaïen,haw
hébreu,heb
héréro,her
hiligaïnon,hil
himachali,him
hindi,hin
hittite,hit
hmong,hmn
hiri motou,hmo
croate,hrv
haut-sorabe,hsb
hongrois,hun
houpa,hup
iban,iba
igbo,ibo
islandais,ice
ido,ido
yi de Sichuan,iii
langues ijo,ijo
inuktitut,iku
interlingue,ile
ilocano,ilo
interlingua (langue auxiliaire internationale),ina
langues indo-aryennes,inc
indonésien,ind
langues indo-européennes,ine
ingouche,inh
inupiaq,ipk
langues iraniennes,ira
langues iroquoises,iro
italien,ita
javanais,jav
lojban,jbo
japonais,jpn
judéo-persan,jpr
judéo-arabe,jrb
karakalpak,kaa
kabyle,kab
"jinghpo, kachin",kac
groenlandais,kal
kamba,kam
kannada,kan
langues karens,kar
kashmiri,kas
kanouri,kau
kawi,kaw
kazakh,kaz
kabarde,kbd
khasi,kha
langues khoïsan,khi
khmer central,khm
"khotanais, sakan",kho
kikouyou,kik
kimboundou,kim
rwanda,kin
kirghize,kir
konkani,kok
kom,kom
kongo,kon
coréen,kor
kosraéen,kos
kpellé,kpe
karatchaï-balkar,krc
carélien,krl
langues krou,kro
kouroukh,kru
"kuanyama, kwanyama",kua
koumyk,kum
kurde,kur
koutenai,kut
judéo-espagnol,lad
lahnda,lah
lamba,lam
lao,lao
latin,lat
letton,lav
lezguien,lez
limbourgeois,lim
lingala,lin
lituanien,lit
mongo,lol
lozi,loz
luxembourgeois,ltz
luba-Lulua,lua
luba-Katanga,lub
ganda,lug
luiseño,lui
lounda,lun
luo,luo
lousaï,lus
macédonien,mac
madurais,mad
magahi,mag
marshallais,mah
maïthili,mai
makassar,mak
malayalam,mal
mandingue,man
māori,mao
langues austronésiennes,map
marathe,mar
"massaï,",mas
malais,may
mokcha,mdf
mandar,mdr
mendé,men
moyen irlandais (900-1200),mga
"mi'kmaq, micmac",mic
minangkabao,min
langues non codées,mis
langues môn-khmer,mkh
malgache,mlg
maltais,mlt
mandchou,mnc
manipuri,mni
langues manobo,mno
mohawk,moh
Moldave,mol
mongol,mon
moré,mos
multilingue,mul
langues mounda,mun
muskogee,mus
mirandais,mwl
marvari,mwr
langues mayas,myn
erza,myv
langues nahuatl,nah
langues indiennes d'Amérique du Nord,nai
napolitain,nap
nauri,nau
navaho,nav
ndébélé du Sud,nbl
ndébélé du Nord,nde
ndonga,ndo
"bas-allemand, bas-saxon",nds
népalais,nep
"nepal bhasa, néwari",new
nias,nia
langues nigéro-congolaises,nic
niué,niu
norvégien nynorsk,nno
norvégien bokmål,nob
nogaï,nog
vieux norrois,non
Norvégien,nor
n'ko,nqo
"sotho du Nord, sotho du Nord, sepedi",nso
langues nubiennes,nub
newari classique,nwc
"chichewa, chewa, nyanja",nya
nyamwézi,nym
nyankolé,nyn
nyoro,nyo
nzéma,nzi
"occitan (XXème siècle), provençal",oci
ojibwa,oji
oriya,ori
galla,orm
osage,osa
ossète,oss
turc ottoman (1500-1928),ota
langues otomi,oto
langues papoues,paa
pangasinan,pag
pèhlevî,pal
pampangan,pam
pendjabi,pan
papiamento,pap
paluan,pau
"perse, vieux (environ 600-400 av. J.-C.)",peo
persan,per
langues philippines,phi
phénicien,phn
pali,pli
polonais,pol
pohnpei,pon
portugais,por
langues prâkrit,pra
"provençal ancien, occitan ancien (jusqu'à 1500)",pro
Pachto (Pachtou),pus
réservé pour usage local,qaa-qtz
quéchua,que
rajasthani,raj
rapanui,rap
"māori des îles Cook, rarotongien",rar
langues romanes,roa
romanche,roh
"romani, tsigane",rom
"roumain, moldave",rum
roundi,run
"aroumain, macédo-roumain",rup
russe,rus
sandawé,sad
sango,sag
iakoute,sah
langues indiennes d'Amérique du Sud,sai
langues salishennes,sal
samaritain,sam
sanskrit,san
sasak,sas
santal,sat
serbe,scc
sicilien,scn
"scots, écossais",sco
selkoupe,sel
langues sémitiques,sem
irlandais ancien (jusqu'à 900),sga
langue des signes,sgn
shan,shn
Shipibo-conibo,shp
sidamo,sid
singhalais,sin
langues sioux,sio
langues sino-tibétaines,sit
langues slaves,sla
slovaque,slo
slovène,slv
sâme du Sud,sma
sâme du Nord,sme
langues sâmes,smi
sâme de Lule,smj
sâme d'Inari,smn
samoan,smo
sâme skolt,sms
shona,sna
sindhi,snd
soninké,snk
sogdien,sog
somali,som
langues songhai,son
sotho du Sud,sot
"espagnol, castillan",spa
sarde,srd
sranan tongo,srn
sérère,srr
langues nilo-sahariennes,ssa
swati,ssw
sukuma,suk
soundanais,sun
soussou,sus
sumérien,sux
swahili,swa
suédois,swe
syriaque classique,syc
syriaque,syr
tahitien,tah
langues tai,tai
tamoul,tam
tatar,tat
télougou,tel
timné,tem
téréno,ter
tétun,tet
tadjik,tgk
tagalog,tgl
thaï,tha
tibétain,tib
tigré,tig
tigrigna,tir
tiv,tiv
tokélaouéen,tkl
klingon,tlh
tlingit,tli
tamacheq,tmh
tonga (Nyasa),tog
tongan (Îles Tonga),ton
tok pisin,tpi
tsimchiane,tsi
tswana,tsn
tsonga,tso
turkmène,tuk
tumbuka,tum
langues tupi,tup
turc,tur
langues altaïques,tut
touvalouéen,tvl
tchi,twi
touvain,tyv
oudmourte,udm
ougaritique,uga
ouïgour,uig
ukrainien,ukr
umbundu,umb
langue indéterminée,und
ourdou,urd
ouzbek,uzb
vaï,vai
venda,ven
vietnamien,vie
volapük,vol
vote,vot
langues wakashennes,wak
"wolaitta, wolaytta",wal
waray,war
washo,was
gallois,wel
langues sorabe,wen
wallon,wln
wolof,wol
"kalmouk, oïrat",xal
xhosa,xho
yao,yao
yapois,yap
yiddish,yid
yorouba,yor
langues yupik,ypk
zapotèque,zap
"symboles Bliss, Bliss",zbl
zénaga,zen
amazighe marocain,zgh
"zhuang, chuang",zha
langues zandé,znd
zoulou,zul
zuñi,zun
"Pas de contenu linguistique, non applicable",zxx
"zaza, dimili, dimli, kirdki, kirmanjki, zazaki",zza
albanais,sqi
arménien,hye
basque,eus
birman,mya
Chinois,zho
tchèque,ces
"néerlandais, flamand",nld
français,fra
géorgien,kat
allemand,deu
grec moderne (après 1453),ell
islandais,isl
kimboundou,kmb
macédonien,mkd
māori,mri
malais,msa
persan,fas
"roumain, moldave",ron
serbe,srp
slovaque,slk
tibétain,bod
gallois,cym
